date,avg_price,volume,ticker
2024-05-12,61219.705,502848342.69,BTC
2024-05-13,62102.05,1327733464.12,BTC
2024-05-14,62095.92,1636519845.72,BTC
2024-05-15,63896.384999999995,2625073579.59,BTC
2024-05-16,65680.295,1596664354.59,BTC
2024-05-17,66304.815,1552274385.82,BTC
2024-05-18,67015.355,586174043.35,BTC
2024-05-19,66787.195,650338446.5,BTC
2024-05-20,68809.07,2624709812.32,BTC
2024-05-21,70561.89,2169803609.99,BTC
2024-05-22,69798.065,1603267534.2,BTC
2024-05-23,68203.88,1922285401.83,BTC
2024-05-24,67938.76000000001,1242012319.42,BTC
2024-05-25,69049.34,412212332.66,BTC
2024-05-26,68833.79000000001,379159635.92,BTC
2024-05-27,69420.60500000001,909946343.46,BTC
2024-05-28,68369.95499999999,1514489243.92,BTC
2024-05-29,67978.85500000001,1108570253.28,BTC
2024-05-30,68314.08,1424914242.82,BTC
2024-05-31,67808.955,1349659294.8,BTC
2024-06-01,67607.43,297719480.73,BTC
2024-06-02,67844.77,456585602.02,BTC
2024-06-03,68934.295,1575608100.17,BTC
2024-06-04,69822.265,2084571763.56,BTC
2024-06-05,71076.76999999999,1545204312.75,BTC
2024-06-06,70878.05,1141567996.37,BTC
2024-06-07,70191.275,1992355199.22,BTC
2024-06-08,69350.285,399100009.36,BTC
2024-06-09,69484.135,357128157.69,BTC
2024-06-10,69669.305,843477987.58,BTC
2024-06-11,67802.715,2141818771.53,BTC
2024-06-12,68459.13,2139401386.85,BTC
2024-06-13,67326.51999999999,1550737143.4,BTC
2024-06-14,66172.205,1633598669.38,BTC
2024-06-15,66125.87,406250537.71,BTC
2024-06-16,66464.44,433017008.55,BTC
2024-06-17,66163.62,1917243316.16,BTC
2024-06-18,65302.18,2293594296.72,BTC
2024-06-19,65182.7,878187235.08,BTC
2024-06-20,65495.21000000001,1473091625.51,BTC
2024-06-21,64184.630000000005,1427909531.59,BTC
2024-06-22,64212.34,358155105.44,BTC
2024-06-23,63829.86,416250575.81,BTC
2024-06-24,60889.755000000005,2938115761.51,BTC
2024-06-25,61308.705,1946492862.08,BTC
2024-06-26,61578.12,1436803387.64,BTC
2024-06-27,61451.785,1385461549.94,BTC
2024-06-28,61037.975,1481619028.88,BTC
2024-06-29,60711.765,560710968.57,BTC
2024-06-30,61793.630000000005,778765578.43,BTC
2024-07-01,63131.59,1623104957.15,BTC
2024-07-02,62336.41,1278702453.96,BTC
2024-07-03,60785.9,1653064013.62,BTC
2024-07-04,58578.53,2342236881.51,BTC
2024-07-05,55511.53,3198812323.21,BTC
2024-07-06,57265.055,1072779742.28,BTC
2024-07-07,57093.259999999995,1053256457.42,BTC
2024-07-08,56236.005000000005,2441024283.07,BTC
2024-07-09,57292.815,1692558128.7,BTC
2024-07-10,58314.380000000005,1631984559.89,BTC
2024-07-11,58283.369999999995,1729366992.27,BTC
2024-07-12,57549.06,1567843358.24,BTC
2024-07-13,58825.520000000004,819172857.7,BTC
2024-07-14,60323.774999999994,1207899406.9,BTC
2024-07-15,62812.435,2752990856.54,BTC
2024-07-16,63917.100000000006,2492930912.34,BTC
2024-07-17,65002.1,1830962929.69,BTC
2024-07-18,64176.815,1405605268.54,BTC
2024-07-19,65386.85,2214983951.52,BTC
2024-07-20,66959.16500000001,840850489.36,BTC
2024-07-21,67105.58,1219084237.52,BTC
2024-07-22,67542.54999999999,1805561349.3,BTC
2024-07-23,66620.37,1958486045.34,BTC
2024-07-24,66116.72,1426727978.64,BTC
2024-07-25,64791.71,1902596712.12,BTC
2024-07-26,66976.83499999999,1654021251.63,BTC
2024-07-27,68046.0,1801405015.15,BTC
2024-07-28,67680.84,812380984.29,BTC
2024-07-29,68232.02,2292001706.95,BTC
2024-07-30,66141.565,1614525200.12,BTC
2024-07-31,65667.81,1601329476.94,BTC
2024-08-01,63914.24,2364449721.14,BTC
2024-08-02,63356.7,2601345982.92,BTC
2024-08-03,60996.575,1596127875.28,BTC
2024-08-04,59125.0,1665780997.48,BTC
